structure,date
8a22_B2,20220602
3j46_3,20130618
1ull_A,19961105
6iv6_G,20181202
6vyt_7,20200227
6tz2_N,20190809
1qzw_F,20030918
7w0a_D,20211118
6r5k_E,20190325
2m8k_A,20130522
8btz_A,20221130
7elh_S,20210411
6z1p_Aa,20200514
7jrs_A,20200812
7u2a_C,20220223
4x4n_D,20141203
8apn_C1,20220810
3icq_E,20090718
1g1x_I,20001013
4ts2_Y,20140618
3pu1_R,20101203
7s7b_H,20210915
7uob_P,20220412
4zc7_B,20150415
6ydp_AV,20200320
6tqn_R,20191217
5a2t_Z,20150523
7vti_B,20211029
7jl3_Y,20200729
7dte_G,20210104
